n_cut,k_cut,sigma,energy,madelung,time,memory
8,8,1e-11,-2.619510413304178e-17,-8.00473672636166,5.237297058105469,0.0
8,9,1e-11,-1.8813567382662175e-17,-5.749076354764935,6.418119430541992,0.00390625
8,10,1e-11,-1.8813567382661802e-17,-5.749076354764822,7.700483560562134,0.0
8,11,1e-11,-1.3681942779802117e-17,-4.18094729844249,9.531664371490479,0.08203125
8,12,1e-11,-1.3681942779802136e-17,-4.180947298442496,11.571085214614868,0.26171875
8,13,1e-11,-1.033240492118941e-17,-3.1573908133451174,13.79944920539856,0.32421875
8,14,1e-11,-1.0332404921187412e-17,-3.1573908133445068,17.361713647842407,0.390625
8,15,1e-11,-8.27044369344874e-18,-2.527293804216988,20.085020065307617,0.28515625
8,16,1e-11,-8.270443693448147e-18,-2.5272938042168067,23.60109543800354,0.9609375
8,17,1e-11,-7.06837697462814e-18,-2.1599645673179793,28.021374940872192,1.375
8,18,1e-11,-7.068376974626527e-18,-2.159964567317486,34.15591788291931,2.62109375
8,19,1e-11,-6.40238449495077e-18,-1.956449649626561,38.183839321136475,3.2421875
8,20,1e-11,-6.402384494950378e-18,-1.9564496496264414,43.864898681640625,4.31640625
8,21,1e-11,-6.05071930030645e-18,-1.8489873053405632,53.3672993183136,6.1484375
8,22,1e-11,-6.050719300307219e-18,-1.848987305340798,91.96047449111938,7.109375
8,23,1e-11,-5.8733827984816535e-18,-1.7947965679465898,104.1841688156128,9.57421875
8,24,1e-11,-5.8733827984816604e-18,-1.794796567946592,133.28468370437622,10.3984375
9,5,1e-11,-3.611736194062487e-17,-11.03679420845445,6.56298041343689,4.92578125
9,6,1e-11,-3.6117361940624885e-17,-11.036794208454456,7.756724119186401,0.0
9,7,1e-11,-2.6195104133041744e-17,-8.00473672636165,8.549633502960205,0.0
9,8,1e-11,-2.619510413304178e-17,-8.00473672636166,10.952361583709717,0.0625
9,9,1e-11,-1.8813567382662175e-17,-5.749076354764935,13.235924482345581,0.1640625
9,10,1e-11,-1.8813567382661802e-17,-5.749076354764822,13.526986598968506,0.15234375
9,11,1e-11,-1.3681942779802117e-17,-4.18094729844249,19.934885263442993,0.26953125
9,12,1e-11,-1.3681942779802136e-17,-4.180947298442496,23.173087120056152,0.296875
9,13,1e-11,-1.033240492118941e-17,-3.1573908133451174,28.049827098846436,0.33203125
9,14,1e-11,-1.0332404921187412e-17,-3.1573908133445068,29.73741626739502,0.63671875
9,15,1e-11,-8.27044369344874e-18,-2.527293804216988,20.5858736038208,0.25
9,16,1e-11,-8.270443693448147e-18,-2.5272938042168067,24.020102977752686,0.49609375
9,17,1e-11,-7.06837697462814e-18,-2.1599645673179793,29.47448992729187,0.98828125
9,18,1e-11,-7.068376974626527e-18,-2.159964567317486,34.59476351737976,2.47265625
9,19,1e-11,-6.40238449495077e-18,-1.956449649626561,39.506824254989624,3.10546875
9,20,1e-11,-6.402384494950378e-18,-1.9564496496264414,45.55297136306763,4.15625
9,21,1e-11,-6.05071930030645e-18,-1.8489873053405632,51.19680833816528,5.84375
9,22,1e-11,-6.050719300307219e-18,-1.848987305340798,57.35436797142029,6.828125
9,23,1e-11,-5.8733827984816535e-18,-1.7947965679465898,65.59314036369324,8.19140625
9,24,1e-11,-5.8733827984816604e-18,-1.794796567946592,73.53209853172302,9.796875
5,5,3.0204081632653065e-11,-6.091888662620392e-18,-1.8615678969214002,1.450507402420044,0.0
5,6,3.0204081632653065e-11,-6.091888662620343e-18,-1.8615678969213854,1.9647502899169922,0.0
5,7,3.0204081632653065e-11,-5.758279846905956e-18,-1.7596232462788808,2.6708321571350098,0.0
5,8,3.0204081632653065e-11,-5.758279846905964e-18,-1.7596232462788832,3.531498670578003,0.0
5,9,3.0204081632653065e-11,-5.7216390352648665e-18,-1.7484264955754862,4.668189764022827,0.0
5,10,3.0204081632653065e-11,-5.7216390352650306e-18,-1.7484264955755362,6.514899492263794,0.0
5,11,3.0204081632653065e-11,-5.718953851279931e-18,-1.7476059532805566,8.545507431030273,0.234375
5,12,3.0204081632653065e-11,-5.718953851280128e-18,-1.7476059532806167,10.245442152023315,0.2578125
